Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
Mild Retinopathy,Vegan,Breakfast,"Fish Curry, Fish Korma, Lauki Curry, Pumpkin Dal, Rajma Pulao, Turkey Kebab",44,13,22,7,395,Strength Training,Refined Flour,60+,Central,19.6,Get enough sleep to support overall health.,Monday
Moderate Retinopathy,Vegetarian,Dinner,"Multigrain Sandwich, Pumpkin Dal, Rajma Curry, Sprouted Chana Salad, Vegan Dum Biryani, Vegan Pancakes",31,8,22,11,458,Stretching,Deep Fried Items,60+,West,27.2,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
Proliferative Retinopathy,Vegetarian,Lunch,"Cucumber Raita, Green Gram Curry, Methi Thepla, Spinach Khichdi, Tomato Shorba, Turkey Kebab",42,6,11,8,472,Stretching,Soft Drinks,46-60,North,18.2,Keep a food diary to monitor your eating habits.,Thursday
Proliferative Retinopathy,Vegetarian,Lunch,"Aloo Paratha, Bisi Bele Bath, Methi Paratha, Pumpkin Soup, Ragi Dosa, Vegan Pancakes",33,14,8,6,487,Yoga,Excess Salt,18-25,East,27.7,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Moderate Retinopathy,Vegan,Snacks,"Aloo Paratha, Cucumber Raita, Jeera Rice, Stuffed Capsicum, Tofu Bhurji, Tomato Shorba",30,12,21,12,280,Strength Training,Sugary Foods,46-60,South,22,Keep a food diary to monitor your eating habits.,Saturday
No retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Bajra Roti, Cucumber Raita, Fish Korma, Jeera Rice, Moong Dal Chilla",43,11,21,5,266,Swimming,Refined Flour,36-45,South,23.7,Practice mindfulness and stress-reducing activities.,Wednesday
Severe Retinopathy,Non Vegetarian,Lunch,"Almond Milk Smoothie, Daliya Upma, Oats Chilla, Palak Paneer, Spinach Rice, Sweet Corn Salad",32,8,17,11,286,Cycling,Processed Foods,18-25,North,25.9,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Baingan Bharta, Barley Risotto, Fish Korma, Handvo, Masoor Dal, Rava Idli",41,13,19,5,294,Brisk Walking,Excess Salt,26-35,West,27.2,Limit your intake of caffeine and alcohol.,Thursday
Mild Retinopathy,Vegan,Dinner,"Aloo Paratha, Chicken Stew, Kadhi Pakora, Keema Pulao, Masala Makhanas, Sweet Potato Hash",33,14,8,10,342,Strength Training,Refined Flour,18-25,South,20.8,Avoid skipping meals and maintain consistent meal timings.,Saturday
Severe Retinopathy,Vegan,Breakfast,"Bajra Roti, Bisi Bele Bath, Cucumber Raita, Mutton Biryani, Oats Chilla, Tomato Shorba",33,8,9,6,421,Brisk Walking,Refined Flour,46-60,Central,20.4,Keep a food diary to monitor your eating habits.,Wednesday
Moderate Retinopathy,Vegan,Lunch,"Chana Sundal, Egg Paratha, Handvo, Lauki Kofta, Multigrain Sandwich, Pumpkin Dal",55,10,17,9,461,Yoga,Deep Fried Items,18-25,Central,18.1,Get enough sleep to support overall health.,Friday
Moderate Retinopathy,Vegetarian,Breakfast,"Chia Pudding, Keema Pulao, Lauki Kofta, Tandoori Chicken, Vegan Dum Biryani, Vegetable Upma",55,6,20,8,353,Swimming,Processed Foods,18-25,West,25.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Wednesday
Severe Retinopathy,Non Vegetarian,Dinner,"Fish Korma, Handvo, Millet Porridge, Multigrain Sandwich, Palak Kofta, Rajma Pulao",35,12,19,10,324,Stretching,Deep Fried Items,26-35,West,21,Avoid skipping meals and maintain consistent meal timings.,Sunday
Severe Retinopathy,Vegan,Dinner,"Coconut Chutney, Kadhi with Rice, Mutton Biryani, Pumpkin Soup, Sprouted Chana Salad, Vegan Dum Biryani",48,10,11,5,391,Swimming,Deep Fried Items,36-45,Central,29.8,Limit your intake of caffeine and alcohol.,Saturday
No retinopathy,Vegan,Lunch,"Avocado Toast, Chia Pudding, Kadhi with Rice, Oats Chilla, Sweet Corn Salad, Vegetable Handvo",39,9,14,13,347,Stretching,Sugary Foods,36-45,South,19.3,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Mild Retinopathy,Vegan,Dinner,"Aloo Paratha, Coconut Chutney, Masoor Dal, Rajma Curry, Sweet Corn Salad, Vegetable Daliya",31,11,22,6,323,Stretching,Excess Salt,60+,North,22,Limit your intake of caffeine and alcohol.,Tuesday
No retinopathy,Non Vegetarian,Breakfast,"Cucumber Raita, Kadhi Pakora, Methi Thepla, Moong Dal Chilla, Poha, Tandoori Chicken",49,6,18,9,370,Brisk Walking,Processed Foods,18-25,South,25.2,Avoid skipping meals and maintain consistent meal timings.,Friday
Proliferative Retinopathy,Vegan,Dinner,"Baingan Bharta, Chickpea Curry, Egg Paratha, Multigrain Sandwich, Tofu Stir Fry, Vegan Dum Biryani",31,11,13,9,499,Cycling,Soft Drinks,46-60,East,27.5,Keep a food diary to monitor your eating habits.,Saturday
Severe Retinopathy,Vegan,Snacks,"Bajra Roti, Barnyard Millet Pongal, Coconut Chutney, Egg Muffins, Lauki Kofta, Spinach Khichdi",47,9,8,13,331,Swimming,Deep Fried Items,60+,South,24.6,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Bisi Bele Bath, Egg Bhurji, Fish Curry, Green Gram Curry, Oats Idli, Vegan Dum Biryani",48,11,12,5,341,Brisk Walking,Processed Foods,18-25,North,28.5,Limit your intake of caffeine and alcohol.,Saturday
Severe Retinopathy,Vegan,Snacks,"Avocado Toast, Bajra Roti, Mutton Seekh, Paneer Bhurji, Spinach Khichdi, Tomato Shorba",55,13,15,15,495,Strength Training,Soft Drinks,36-45,South,22.2,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Sunday
No retinopathy,Vegetarian,Breakfast,"Almond Milk Smoothie, Aloo Paratha, Avocado Toast, Jeera Rice, Spinach Rice, Tofu Bhurji",47,7,12,6,334,Brisk Walking,Sugary Foods,46-60,Central,26,Keep a food diary to monitor your eating habits.,Saturday
No retinopathy,Vegetarian,Dinner,"Avocado Toast, Barley Risotto, Barnyard Millet Pongal, Fish Korma, Stuffed Tinda, Sweet Potato Hash",42,9,14,9,426,Brisk Walking,Sugary Foods,26-35,West,27.4,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Severe Retinopathy,Non Vegetarian,Dinner,"Avocado Toast, Barnyard Millet Pongal, Chickpea Curry, Fish Korma, Paneer Cutlet, Rava Idli",30,9,16,14,491,Stretching,Deep Fried Items,18-25,Central,21.2,Exercise regularly to maintain healthy weight and sugar levels.,Thursday
Mild Retinopathy,Non Vegetarian,Breakfast,"Chole with Bhatura, Coconut Chutney, Egg Bhurji, Oats Chilla, Pumpkin Soup, Vegan Dum Biryani",51,7,20,9,412,Strength Training,Soft Drinks,46-60,Central,19.6,Limit your intake of caffeine and alcohol.,Tuesday
No retinopathy,Vegan,Breakfast,"Bajra Roti, Barley Risotto, Chickpea Curry, Cucumber Raita, Keema Pulao, Mutton Biryani",32,9,12,5,469,Cycling,Refined Flour,36-45,South,21.9,Get enough sleep to support overall health.,Saturday
Severe Retinopathy,Non Vegetarian,Snacks,"Barley Risotto, Barnyard Millet Pongal, Jeera Rice, Masala Egg Toast, Oats Idli, Turkey Kebab",38,13,18,7,383,Cycling,Refined Flour,46-60,North,26.5,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
No retinopathy,Non Vegetarian,Breakfast,"Jeera Rice, Lauki Curry, Masala Egg Toast, Palak Kofta, Rajma Pulao, Spinach Khichdi",42,9,9,9,370,Swimming,Soft Drinks,26-35,South,29.3,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Severe Retinopathy,Vegetarian,Lunch,"Almond Milk Smoothie, Barley Risotto, Chicken Sandwich, Sweet Corn Salad, Tandoori Chicken, Tofu Bhurji",40,6,15,7,385,Yoga,Soft Drinks,26-35,East,29.1,Keep a food diary to monitor your eating habits.,Monday
Proliferative Retinopathy,Vegetarian,Breakfast,"Barnyard Millet Pongal, Boiled Egg Salad, Egg Bhurji, Kadhi with Rice, Masala Idli, Rajma Curry",54,11,15,14,281,Strength Training,Deep Fried Items,26-35,Central,28.4,Practice mindfulness and stress-reducing activities.,Wednesday
Severe Retinopathy,Vegetarian,Breakfast,"Aloo Paratha, Dhokla, Masala Egg Toast, Millet Porridge, Spinach Khichdi, Stuffed Tinda",50,7,14,7,384,Strength Training,Soft Drinks,46-60,East,29.3,Limit your intake of caffeine and alcohol.,Thursday
Mild Retinopathy,Vegetarian,Lunch,"Barnyard Millet Pongal, Egg Muffins, Lauki Curry, Poha, Rava Idli, Tofu Bhurji",37,6,21,15,471,Cycling,Deep Fried Items,36-45,North,18.3,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
No retinopathy,Non Vegetarian,Breakfast,"Kadhi Pakora, Masala Idli, Pumpkin Dal, Stuffed Capsicum, Sweet Potato Hash, Vegetable Upma",37,13,13,10,342,Yoga,Refined Flour,60+,East,22.5,"Eat small, frequent meals to maintain blood sugar levels.",Monday
No retinopathy,Vegan,Breakfast,"Avocado Toast, Cucumber Raita, Lauki Kofta, Palak Paneer, Rajma Pulao, Rava Idli",34,13,21,6,465,Yoga,Deep Fried Items,18-25,West,21.6,Avoid skipping meals and maintain consistent meal timings.,Thursday
Moderate Retinopathy,Vegan,Dinner,"Chia Pudding, Egg Paratha, Palak Kofta, Quinoa Salad, Rajma Pulao, Tofu Bhurji",49,11,8,5,334,Stretching,Processed Foods,26-35,Central,18.1,Get enough sleep to support overall health.,Saturday
No retinopathy,Vegan,Dinner,"Bisi Bele Bath, Fish Curry, Green Gram Curry, Pumpkin Soup, Stuffed Capsicum, Turkey Kebab",53,9,18,6,454,Stretching,Processed Foods,46-60,South,29.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Moderate Retinopathy,Vegan,Dinner,"Avocado Toast, Boiled Egg Salad, Chole with Bhatura, Cucumber Raita, Pumpkin Soup, Vegetable Handvo",34,9,16,7,292,Brisk Walking,Deep Fried Items,26-35,North,18.1,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Mild Retinopathy,Non Vegetarian,Lunch,"Baingan Bharta, Bajra Roti, Keema Pulao, Masoor Dal, Poha, Sweet Potato Hash",39,10,11,8,436,Strength Training,Deep Fried Items,26-35,West,20.3,Practice mindfulness and stress-reducing activities.,Tuesday
Mild Retinopathy,Non Vegetarian,Lunch,"Bajra Roti, Bisi Bele Bath, Chana Sundal, Lauki Curry, Stuffed Tinda, Tomato Shorba",39,6,10,7,349,Brisk Walking,Processed Foods,36-45,East,26.7,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
No retinopathy,Vegan,Breakfast,"Bisi Bele Bath, Boiled Egg Salad, Gatte ki Sabzi, Jeera Rice, Palak Paneer, Tomato Shorba",54,7,22,11,290,Strength Training,Soft Drinks,60+,North,22.3,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
Severe Retinopathy,Vegetarian,Snacks,"Coconut Chutney, Daliya Upma, Dhokla, Kadhi Pakora, Stuffed Tinda, Tandoori Chicken",43,12,10,9,334,Yoga,Excess Salt,18-25,East,21.3,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
No retinopathy,Non Vegetarian,Snacks,"Bajra Roti, Cucumber Raita, Fish Korma, Green Gram Curry, Methi Paratha, Roasted Foxnuts",49,11,9,8,513,Cycling,Soft Drinks,46-60,West,22.3,Avoid skipping meals and maintain consistent meal timings.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Masala Idli, Paneer Bhurji, Pumpkin Dal, Spinach Rice, Turkey Kebab, Vegetable Handvo",38,10,14,13,519,Cycling,Refined Flour,60+,West,19.9,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Proliferative Retinopathy,Vegan,Dinner,"Almond Milk Smoothie, Avocado Toast, Chia Pudding, Cucumber Raita, Millet Porridge, Quinoa Salad",46,8,21,15,413,Yoga,Refined Flour,60+,West,23.5,Keep a food diary to monitor your eating habits.,Saturday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Avocado Toast, Fish Korma, Handvo, Keema Pulao, Paneer Bhurji, Turkey Kebab",35,7,8,13,347,Swimming,Refined Flour,60+,North,21.3,Avoid skipping meals and maintain consistent meal timings.,Thursday
Moderate Retinopathy,Vegetarian,Lunch,"Coconut Chutney, Grilled Salmon, Masala Makhanas, Mutton Biryani, Stuffed Capsicum, Vegetable Upma",35,11,17,13,270,Stretching,Refined Flour,60+,East,21.5,Get enough sleep to support overall health.,Saturday
Mild Retinopathy,Vegan,Breakfast,"Baingan Bharta, Chia Pudding, Chicken Sandwich, Jeera Rice, Palak Kofta, Rajma Curry",34,10,19,14,356,Brisk Walking,Processed Foods,46-60,North,19.9,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
No retinopathy,Vegetarian,Lunch,"Masala Papad, Palak Paneer, Stuffed Tinda, Tandoori Chicken, Tomato Shorba, Vegetable Handvo",51,8,11,15,287,Swimming,Refined Flour,46-60,North,19.6,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Mild Retinopathy,Vegan,Lunch,"Keema Pulao, Lauki Curry, Oats Chilla, Palak Paneer, Paneer Bhurji, Sprouted Chana Salad",54,9,11,5,307,Cycling,Sugary Foods,60+,Central,25.9,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Moderate Retinopathy,Vegan,Lunch,"Boiled Egg Salad, Cabbage Stir Fry, Chicken Stew, Chickpea Curry, Cucumber Raita, Rajma Pulao",40,7,16,7,390,Brisk Walking,Deep Fried Items,18-25,West,22.6,Avoid skipping meals and maintain consistent meal timings.,Wednesday
Mild Retinopathy,Vegetarian,Snacks,"Aloo Paratha, Fish Curry, Kadhi with Rice, Masoor Dal, Methi Paratha, Ragi Dosa",38,7,16,7,364,Cycling,Deep Fried Items,18-25,West,21.8,Practice mindfulness and stress-reducing activities.,Friday
Moderate Retinopathy,Vegetarian,Breakfast,"Egg Muffins, Mutton Biryani, Paneer Cutlet, Spinach Rice, Stuffed Capsicum, Stuffed Tinda",40,10,13,9,519,Strength Training,Refined Flour,36-45,East,19.2,Avoid skipping meals and maintain consistent meal timings.,Monday
Moderate Retinopathy,Vegan,Lunch,"Almond Milk Smoothie, Chicken Stew, Masala Egg Toast, Masala Idli, Rajma Curry, Rajma Pulao",32,6,16,8,250,Swimming,Excess Salt,18-25,Central,25.5,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
No retinopathy,Vegetarian,Breakfast,"Barley Risotto, Dhokla, Masala Idli, Methi Paratha, Oats Chilla, Pumpkin Dal",46,13,20,12,414,Cycling,Processed Foods,26-35,South,24.6,Get enough sleep to support overall health.,Wednesday
No retinopathy,Vegan,Snacks,"Baingan Bharta, Chicken Sandwich, Cucumber Raita, Mutton Biryani, Sprouted Chana Salad, Tomato Shorba",30,6,10,6,438,Yoga,Sugary Foods,60+,South,18.6,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Mild Retinopathy,Non Vegetarian,Dinner,"Green Gram Curry, Mutton Seekh, Oats Idli, Pumpkin Soup, Rajma Pulao, Rava Idli",31,13,11,12,318,Swimming,Processed Foods,36-45,Central,19.4,Avoid skipping meals and maintain consistent meal timings.,Sunday
Proliferative Retinopathy,Vegetarian,Breakfast,"Bajra Roti, Daliya Upma, Egg Bhurji, Egg Muffins, Gatte ki Sabzi, Lauki Curry",55,12,14,5,426,Stretching,Processed Foods,36-45,North,29.2,Get enough sleep to support overall health.,Saturday
Moderate Retinopathy,Vegetarian,Dinner,"Keema Pulao, Methi Paratha, Oats Chilla, Palak Kofta, Ragi Dosa, Spinach Khichdi",32,8,10,5,276,Stretching,Sugary Foods,26-35,West,18.9,Get enough sleep to support overall health.,Friday
Moderate Retinopathy,Non Vegetarian,Dinner,"Baingan Bharta, Boiled Egg Salad, Moong Dal Chilla, Palak Paneer, Roasted Foxnuts, Tomato Shorba",44,13,12,15,517,Cycling,Refined Flour,26-35,South,27.1,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
No retinopathy,Vegetarian,Breakfast,"Amaranth Dal, Chia Pudding, Fish Curry, Green Gram Curry, Kadhi with Rice, Stuffed Tinda",31,8,14,7,472,Brisk Walking,Excess Salt,60+,North,29.5,Limit your intake of caffeine and alcohol.,Saturday
Proliferative Retinopathy,Vegan,Dinner,"Amaranth Dal, Boiled Egg Salad, Kadhi Pakora, Methi Thepla, Roasted Foxnuts, Tomato Shorba",38,7,22,12,359,Stretching,Deep Fried Items,36-45,South,22.9,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Mild Retinopathy,Vegetarian,Dinner,"Aloo Paratha, Chicken Stew, Fish Korma, Handvo, Methi Thepla, Millet Porridge",53,6,14,9,433,Swimming,Deep Fried Items,18-25,North,29.4,"Eat small, frequent meals to maintain blood sugar levels.",Monday
Moderate Retinopathy,Vegan,Dinner,"Cabbage Stir Fry, Vegan Dum Biryani, Vegan Pancakes, Vegetable Daliya, Vegetable Handvo, Vegetable Upma",30,7,16,15,354,Yoga,Excess Salt,26-35,East,25.8,Stay hydrated and drink at least 8 glasses of water daily.,Wednesday
Proliferative Retinopathy,Vegan,Snacks,"Coconut Chutney, Masoor Dal, Methi Thepla, Pumpkin Dal, Ragi Dosa, Vegetable Daliya",39,10,11,8,494,Brisk Walking,Processed Foods,46-60,West,26.1,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Severe Retinopathy,Non Vegetarian,Lunch,"Egg Paratha, Masoor Dal, Spinach Rice, Sprouted Chana Salad, Sweet Corn Salad, Tofu Bhurji",44,6,17,13,308,Yoga,Refined Flour,18-25,Central,27.3,Keep a food diary to monitor your eating habits.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Baingan Bharta, Coconut Chutney, Multigrain Sandwich, Paneer Bhurji, Pumpkin Soup, Rajma Curry",53,14,12,13,507,Strength Training,Refined Flour,26-35,West,29.5,Keep a food diary to monitor your eating habits.,Thursday
Moderate Retinopathy,Vegan,Lunch,"Egg Muffins, Egg Paratha, Fish Korma, Keema Pulao, Ragi Dosa, Turkey Kebab",43,10,8,8,278,Swimming,Processed Foods,60+,South,25.5,Limit your intake of caffeine and alcohol.,Sunday
Mild Retinopathy,Vegetarian,Lunch,"Baingan Bharta, Bajra Roti, Chicken Stew, Masala Makhanas, Oats Idli, Rajma Curry",50,8,18,14,392,Swimming,Excess Salt,60+,South,26.6,Practice mindfulness and stress-reducing activities.,Monday
Proliferative Retinopathy,Vegan,Dinner,"Chana Sundal, Chicken Stew, Cucumber Raita, Mutton Biryani, Pumpkin Soup, Ragi Dosa",52,10,11,14,283,Stretching,Excess Salt,18-25,Central,19.1,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Proliferative Retinopathy,Vegetarian,Snacks,"Chana Sundal, Fish Curry, Handvo, Paneer Cutlet, Roasted Foxnuts, Tofu Stir Fry",30,14,18,13,301,Yoga,Sugary Foods,60+,East,27.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Mild Retinopathy,Vegetarian,Breakfast,"Aloo Paratha, Boiled Egg Salad, Chana Sundal, Coconut Chutney, Quinoa Salad, Turkey Kebab",41,6,14,12,274,Yoga,Sugary Foods,46-60,North,24.4,Limit your intake of caffeine and alcohol.,Monday
Moderate Retinopathy,Vegan,Breakfast,"Multigrain Sandwich, Mutton Biryani, Palak Paneer, Spinach Khichdi, Vegan Dum Biryani, Vegetable Daliya",41,12,11,11,410,Cycling,Processed Foods,36-45,Central,25,Limit your intake of caffeine and alcohol.,Thursday
Proliferative Retinopathy,Vegan,Dinner,"Egg Muffins, Fish Curry, Ragi Dosa, Rava Idli, Stuffed Tinda, Tandoori Chicken",35,11,11,6,429,Swimming,Excess Salt,36-45,East,25.5,Keep a food diary to monitor your eating habits.,Thursday
Proliferative Retinopathy,Vegetarian,Breakfast,"Almond Milk Smoothie, Bisi Bele Bath, Chole with Bhatura, Cucumber Raita, Gatte ki Sabzi, Moong Dal Chilla",40,9,22,5,383,Brisk Walking,Sugary Foods,18-25,South,27.1,Keep a food diary to monitor your eating habits.,Monday
Moderate Retinopathy,Vegan,Breakfast,"Boiled Egg Salad, Grilled Salmon, Lauki Kofta, Paneer Cutlet, Quinoa Salad, Sprouted Chana Salad",39,7,12,10,303,Brisk Walking,Deep Fried Items,18-25,North,28.9,Practice mindfulness and stress-reducing activities.,Monday
Moderate Retinopathy,Vegan,Breakfast,"Bajra Roti, Barnyard Millet Pongal, Chia Pudding, Oats Idli, Pumpkin Dal, Stuffed Tinda",30,11,19,10,459,Cycling,Refined Flour,26-35,Central,27.7,Avoid skipping meals and maintain consistent meal timings.,Tuesday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Amaranth Dal, Jeera Rice, Oats Chilla, Pumpkin Dal, Rajma Pulao, Vegan Pancakes",34,11,21,7,368,Stretching,Excess Salt,18-25,West,25.8,Keep a food diary to monitor your eating habits.,Wednesday
Severe Retinopathy,Vegan,Lunch,"Aloo Paratha, Jeera Rice, Masoor Dal, Pumpkin Dal, Roasted Foxnuts, Vegetable Handvo",47,8,19,9,353,Stretching,Soft Drinks,26-35,Central,20.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Moderate Retinopathy,Vegetarian,Dinner,"Bajra Roti, Boiled Egg Salad, Kadhi with Rice, Masala Papad, Methi Paratha, Moong Dal Chilla",36,13,15,11,452,Brisk Walking,Excess Salt,26-35,West,26,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Proliferative Retinopathy,Vegan,Breakfast,"Baingan Bharta, Barley Risotto, Coconut Chutney, Paneer Bhurji, Quinoa Salad, Vegetable Daliya",53,11,15,6,378,Strength Training,Excess Salt,36-45,North,18.2,Keep a food diary to monitor your eating habits.,Monday
Severe Retinopathy,Vegetarian,Breakfast,"Almond Milk Smoothie, Amaranth Dal, Chickpea Curry, Coconut Chutney, Kadhi Pakora, Palak Kofta",40,6,17,9,332,Cycling,Sugary Foods,46-60,North,24.7,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Moderate Retinopathy,Vegetarian,Dinner,"Amaranth Dal, Cabbage Stir Fry, Fish Curry, Lauki Kofta, Masala Idli, Masoor Dal",52,6,20,12,332,Yoga,Deep Fried Items,18-25,North,29.4,Limit your intake of caffeine and alcohol.,Thursday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Chickpea Curry, Handvo, Mutton Seekh, Quinoa Salad, Roasted Foxnuts, Tomato Shorba",38,6,14,15,282,Strength Training,Soft Drinks,26-35,North,21.3,Limit your intake of caffeine and alcohol.,Friday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Avocado Toast, Barnyard Millet Pongal, Chana Sundal, Paneer Bhurji, Roasted Foxnuts, Vegan Pancakes",31,8,18,7,395,Yoga,Soft Drinks,60+,West,21.2,Keep a food diary to monitor your eating habits.,Saturday
Moderate Retinopathy,Vegan,Lunch,"Amaranth Dal, Cucumber Raita, Masala Egg Toast, Millet Porridge, Mutton Seekh, Ragi Dosa",30,14,9,14,371,Swimming,Refined Flour,18-25,East,20.9,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Proliferative Retinopathy,Vegetarian,Dinner,"Amaranth Dal, Chia Pudding, Grilled Salmon, Lauki Kofta, Ragi Dosa, Sprouted Chana Salad",34,9,15,15,251,Cycling,Deep Fried Items,46-60,North,23.7,Exercise regularly to maintain healthy weight and sugar levels.,Friday
Proliferative Retinopathy,Vegetarian,Breakfast,"Masala Makhanas, Rava Idli, Roasted Foxnuts, Stuffed Capsicum, Stuffed Tinda, Sweet Corn Salad",53,12,21,8,435,Swimming,Refined Flour,60+,East,28.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
No retinopathy,Non Vegetarian,Breakfast,"Egg Paratha, Masala Papad, Moong Dal Chilla, Palak Kofta, Roasted Foxnuts, Tandoori Chicken",46,14,18,10,376,Yoga,Processed Foods,18-25,North,18.2,Exercise regularly to maintain healthy weight and sugar levels.,Wednesday
Mild Retinopathy,Vegetarian,Lunch,"Amaranth Dal, Keema Pulao, Lauki Curry, Oats Idli, Palak Paneer, Spinach Rice",49,10,16,10,364,Stretching,Refined Flour,60+,East,22.5,Get enough sleep to support overall health.,Wednesday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Amaranth Dal, Cucumber Raita, Egg Muffins, Multigrain Sandwich, Mutton Biryani, Oats Idli",34,10,18,13,416,Stretching,Processed Foods,18-25,East,23.4,"Eat small, frequent meals to maintain blood sugar levels.",Monday
No retinopathy,Vegetarian,Lunch,"Almond Milk Smoothie, Egg Bhurji, Masala Papad, Methi Paratha, Roasted Foxnuts, Tofu Bhurji",43,14,18,10,345,Swimming,Soft Drinks,60+,North,28.5,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Wednesday
Severe Retinopathy,Vegetarian,Snacks,"Amaranth Dal, Egg Paratha, Fish Curry, Masala Papad, Pumpkin Soup, Rava Idli",47,12,15,5,513,Stretching,Sugary Foods,60+,West,19.8,Get enough sleep to support overall health.,Saturday
No retinopathy,Vegetarian,Snacks,"Coconut Chutney, Masala Makhanas, Multigrain Sandwich, Paneer Bhurji, Poha, Pumpkin Dal",30,13,9,11,413,Yoga,Excess Salt,36-45,South,20.7,Avoid skipping meals and maintain consistent meal timings.,Thursday
Severe Retinopathy,Vegetarian,Lunch,"Bajra Roti, Chickpea Curry, Green Gram Curry, Multigrain Sandwich, Paneer Cutlet, Vegetable Handvo",42,7,10,14,264,Swimming,Soft Drinks,18-25,South,22.1,Keep a food diary to monitor your eating habits.,Thursday
Severe Retinopathy,Vegetarian,Lunch,"Chole with Bhatura, Fish Korma, Lauki Kofta, Masala Egg Toast, Tofu Stir Fry, Vegan Pancakes",44,8,14,7,358,Brisk Walking,Refined Flour,46-60,East,20.2,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Moderate Retinopathy,Non Vegetarian,Lunch,"Aloo Paratha, Coconut Chutney, Dhokla, Egg Muffins, Masala Papad, Millet Porridge",33,6,20,14,494,Cycling,Processed Foods,36-45,West,20,Practice mindfulness and stress-reducing activities.,Thursday
Severe Retinopathy,Vegetarian,Snacks,"Chickpea Curry, Fish Curry, Grilled Salmon, Palak Paneer, Turkey Kebab, Vegetable Upma",45,12,10,13,460,Stretching,Processed Foods,36-45,South,21.8,Get enough sleep to support overall health.,Monday
Mild Retinopathy,Non Vegetarian,Breakfast,"Amaranth Dal, Cucumber Raita, Lauki Kofta, Paneer Bhurji, Spinach Rice, Stuffed Tinda",51,9,13,7,351,Yoga,Excess Salt,18-25,North,23.7,Keep a food diary to monitor your eating habits.,Wednesday
Severe Retinopathy,Vegan,Snacks,"Cucumber Raita, Jeera Rice, Oats Chilla, Palak Kofta, Pumpkin Dal, Tomato Shorba",52,12,9,11,343,Brisk Walking,Soft Drinks,26-35,East,27.4,Practice mindfulness and stress-reducing activities.,Monday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Daliya Upma, Millet Porridge, Moong Dal Chilla, Stuffed Capsicum, Tomato Shorba, Turkey Kebab",55,8,20,9,454,Brisk Walking,Sugary Foods,46-60,South,28.6,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Chickpea Curry, Green Gram Curry, Multigrain Sandwich, Rajma Curry, Rajma Pulao, Vegetable Daliya",37,8,19,6,259,Yoga,Refined Flour,26-35,West,23.1,Exercise regularly to maintain healthy weight and sugar levels.,Monday
